Building Address,Building Name,Building Park,Submarket Name,Submarket Cluster,County Name,PropertyType,Building Class,Building Status,Year Built,Year Renovated,Number Of Stories,Last Sale Price,Last Sale Date,For Sale Status,For Sale Price,Land Area (AC),Rentable Building Area,Typical Floor Size,Number Of Elevators,Core Factor,Percent Leased,Average Weighted Rent,Services,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Max Building Contiguous Space,Max Floor Contiguous Space,Total Available Space (SF),Amenities,Zoning,Number Of Parking Spaces,Parking Ratio,Building Operating Expenses,Building Tax Expenses,Location 1,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
830 Eighth Ave,,,Columbus Circle,Midtown,Manhattan,Office,B,Under Renovation,1986,2011,10,4500000,5/11/1996,N,,0.0402,22000,2200,1,,100,-,,,,,,,,,,"24/7 Building Access, On Site Management, Property Manager on Site",C6-4,,,"2010 Tax @ $11.86/sf; 2001 Ops @ $13.40/sf, 2010 Est Ops @ $3.43/sf","2010 Tax @ $11.86/sf; 2001 Ops @ $13.40/sf, 2010 Est Ops @ $3.43/sf","(40.762381, -73.986026)",1,10019,40.762381,-73.986026,5,3,131,1024808,1010220001,Midtown-Midtown South                                                      
730 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,850000,6/10/1992,N,,0.028,3476,987,0,,100,-,,,,,,,,,,,"C6-4, New York",,,2008 Tax @ $12.35/sf,2008 Tax @ $12.35/sf,"(40.759365, -73.988229)",1,10036,40.759365,-73.988229,5,3,119,1024720,1010170003,Midtown-Midtown South                                                      
251 W 45th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1958,,7,,,N,,0.3691,45584,6511,0,,100,-,,,,,,,,,,Pylon Sign,C6-5,,,2010 Tax @ $6.61/sf; 2010 Est Ops @ $4.66/sf,2010 Tax @ $6.61/sf; 2010 Est Ops @ $4.66/sf,"(40.758742, -73.987345)",1,10036,40.758742,-73.987345,5,3,119,1024724,1010170007,Midtown-Midtown South                                                      
303-305 W 46th St,Parking Lot,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,1,11000000,8/16/2003,N,,0.11,4060,4060,0,,100,-,,,,,,,,,,,C6-4 (G6),,,2010 Tax @ $9.64/sf; 2010 Est Ops @ $2.96/sf,2010 Tax @ $9.64/sf; 2010 Est Ops @ $2.96/sf,"(40.759996, -73.988388)",1,10036,40.759996,-73.988388,4,3,127,1089716,1010370029,Clinton                                                                    
226 W 47th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1923,,10,,,N,,0.0735,27500,3125,2,,0,-,,,,,,,,,,Property Manager on Site,C6-7.5,,,2008 Tax @ $11.37/sf,2008 Tax @ $11.37/sf,"(40.759713, -73.985854)",1,10036,40.759713,-73.985854,5,3,125,1024743,1010180044,Midtown-Midtown South                                                      
301 W 42nd St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1972,1999,2,27000000,7/24/2001,N,,0.1385,12905,6000,0,,100,-,,,,,,,,,,,C6-4,,,2011 Tax @ $39.79/sf; 2011 Est Ops @ $12.40/sf,2011 Tax @ $39.79/sf; 2011 Est Ops @ $12.40/sf,"(40.757419, -73.990214)",1,10036,40.757419,-73.990214,4,3,121,1024946,1010330029,Clinton                                                                    
1501 Broadway,Paramount Bldg,,Times Square,Midtown,Manhattan,Office,B,Existing,1926,2006,31,,,N,,0.9504,638566,20598,13,,100,Negotiable,Direct - Plus Electric,,3956,4000,0,0,4000,4000,7956,"24/7 Building Access, Banking, Food Service, On Site Management, Property Manager on Site, Restaurant",C6-7.5,,,"2011 Tax @ $8.26/sf, 2010 Est Tax @ $8.35/sf; 2011 Ops @ $20.08/sf","2011 Tax @ $8.26/sf, 2010 Est Tax @ $8.35/sf; 2011 Ops @ $20.08/sf","(40.757103, -73.986193)",1,10036,40.757103,-73.986193,5,3,119,1024706,1010150029,Midtown-Midtown South                                                      
252 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,N,,0.0367,5319,1329,0,,100,-,,,,,,,,,,,C6-5,,,2010 Tax @ $5.57/sf; 2010 Est Ops @ $7.21/sf,2010 Tax @ $5.57/sf; 2010 Est Ops @ $7.21/sf,"(40.759261, -73.986695)",1,10036,40.759261,-73.986695,5,3,119,1024729,1010170057,Midtown-Midtown South                                                      
726 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,4,4300000,10/15/2005,N,,0.03,4106,1026,0,,100,-,,,,,,,,,,Street parking only,C6-4,,,2010 Tax @ $17.03/sf; 2010 Est Ops @ $9.58/sf,2010 Tax @ $17.03/sf; 2010 Est Ops @ $9.58/sf,"(40.759291, -73.988287)",1,10036,40.759291,-73.988287,5,3,119,1024732,1010170101,Midtown-Midtown South                                                      
261 W 52nd St,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1922,,3,,,N,,1.0331,7709,2569,0,,100,-,,,,,,,,,,,C6-5,,,,,"(40.763155, -73.98425)",1,10019,40.763155,-73.98425,5,3,131,1080869,1010240052,Midtown-Midtown South                                                      
125 W 43rd St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,5,,,N,,0.048,7041,1408,0,,100,-,,,,,,,,,,,C6-5.5,,,2008 Ops @ $12.47/sf,2008 Ops @ $12.47/sf,"(40.75586, -73.984418)",1,10036,40.75586,-73.984418,5,4,119,1022614,1009960020,Midtown-Midtown South                                                      
136 W 42nd St,,,Penn Plaza/Garment,Midtown,Manhattan,Office,B,Existing,1900,1983,5,5250000,9/22/1995,N,,0.0562,8812,2002,0,,100,-,,,,,,,,,,,"C6-7, New York",,,2008 Tax @ $8.01/sf,2008 Tax @ $8.01/sf,"(40.755338, -73.985313)",1,10036,40.755338,-73.985313,5,4,113,1022578,1009947503,Midtown-Midtown South                                                      
1552-1554 Broadway,I Miller Shoe Building/TGI Friday's,,Times Square,Midtown,Manhattan,Retail,,Existing,1939,2006,4,136550000,8/18/2007,N,,0.0735,15000,3200,0,,100,-,,,,,,,,,,"A/C, Bus Line, Corner Lot, Metro/Subway, Restaurant, Signage, Signalized Intersection, Street parking only, Tenant Controlled HVAC","C6-7T, Manhattan(K9)",,,"2010 Tax @ $57.80/sf, 2011 Est Tax @ $57.80/sf; 2011 Ops @ $11.56/sf, 2010 Est Ops @ $23.73/sf","2010 Tax @ $57.80/sf, 2011 Est Tax @ $57.80/sf; 2011 Ops @ $11.56/sf, 2010 Est Ops @ $23.73/sf","(40.758665, -73.984977)",1,10036,40.758665,-73.984977,5,4,125,1022660,1009990001,Midtown-Midtown South                                                      
721-723 Seventh Ave,,,Times Square,Midtown,Manhattan,Office,B,Existing,1920,,13,22950000,12/15/2005,N,,0.077,44200,3400,0,,89.28,33.14,Direct - Plus Electric,,4739,0,4739,0,3839,3839,4739,,C6-7T,,,"2010 Tax @ $7.39/sf, 2011 Est Tax @ $7.48/sf; 2001 Ops @ $12.37/sf, 2011 Est Ops @ $14.93/sf","2010 Tax @ $7.39/sf, 2011 Est Tax @ $7.48/sf; 2001 Ops @ $12.37/sf, 2011 Est Ops @ $14.93/sf","(40.75993, -73.984099)",1,10019,40.75993,-73.984099,5,4,125,1022688,1010010001,Midtown-Midtown South                                                      
135 W 50th St,Sports Illustrated Building,,Columbus Circle,Midtown,Manhattan,Office,A,Existing,1962,,23,332500000,6/28/2002,N,,1.107,800733,34814,16,23,100,43.49,Sublet - Plus Electric,,0,141646,0,35045,55235,55235,141646,"Concierge, LEED Certified - Silver, LEED Registered, On Site Management, Property Manager on Site","C6-7, Manhattan (O3)",,,"2010 Tax @ $10.25/sf, 2011 Est Tax @ $10.14/sf; 2000 Ops @ $14.63/sf, 2011 Est Ops @ $13.88/sf","2010 Tax @ $10.25/sf, 2011 Est Tax @ $10.14/sf; 2000 Ops @ $14.63/sf, 2011 Est Ops @ $13.88/sf","(40.760374, -73.981533)",1,10020,40.760374,-73.981533,5,4,131,1022708,1010030005,Midtown-Midtown South                                                      
634 Eighth Ave,,,Times Square,Midtown,Manhattan,Office,C,Existing,1965,,5,,,N,,0.287,12500,12500,0,,100,-,,,,,,,,,,,C6-7,,,,,"(40.756376, -73.990406)",1,10018,40.756376,-73.990406,5,3,113,1087186,1010127501,Midtown-Midtown South                                                      
681 Eighth Ave,,,Times Square,Midtown,Manhattan,Office,C,Existing,1929,,3,2000000,9/30/1992,N,,0.1377,25687,6000,1,,100,-,,,,,,,,,,,C6-4,,,2011 Tax @ $4.71/sf; 2011 Est Ops @ $13.90/sf,2011 Tax @ $4.71/sf; 2011 Est Ops @ $13.90/sf,"(40.758007, -73.98924)",1,10036,40.758007,-73.98924,4,3,121,1024967,1010340029,Clinton                                                                    
1119 Avenue of the Americas,,,Times Square,Midtown,Manhattan,Office,C,Existing,1920,,4,7481000,2/17/2000,N,,0.0303,5264,1316,0,,100,-,,,,,,,,,,Corner Lot,"C6-6, New York (O9)",,,,,"(40.755418, -73.983707)",1,10036,40.755418,-73.983707,5,4,119,1087268,1009950033,Midtown-Midtown South                                                      
346-348 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,1986,4,5000000,3/22/2003,N,,0.082,8750,1750,0,,100,-,,,,,,,,,,,R8/C1-5 (C7),,,2009 Tax @ $18.84/sf,2009 Tax @ $18.84/sf,"(40.760359, -73.989286)",1,10036,40.760359,-73.989286,4,3,121,1080885,1010360052,Clinton                                                                    
263 W 45th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,,,N,,0.0367,7799,2599,0,,100,-,,,,,,,,,,,C6-5,,,2008 Tax @ $6.67/sf,2008 Tax @ $6.67/sf,"(40.758824, -73.98754)",1,10036,40.758824,-73.98754,5,3,119,1088566,1010170005,Midtown-Midtown South                                                      
5 Times Sq,Five Times Square,,Times Square,Midtown,Manhattan,Office,A,Existing,2002,,37,1280000000,11/19/2002,N,,0.6,1101779,29778,18,,100,58,Sublet - Plus Electric,,0,95003,0,95003,95003,31675,95003,"Bus Line, Corner Lot, Metro/Subway",C6-7,,,2008 Combined Tax/Ops @ $18.77/sf; 2010 Est Ops @ $16.03/sf,2008 Combined Tax/Ops @ $18.77/sf; 2010 Est Ops @ $16.03/sf,"(40.755709, -73.987208)",1,10036,40.755709,-73.987208,5,3,113,1024656,1010130029,Midtown-Midtown South                                                      
220 W 41st St,,,Times Square,Midtown,Manhattan,Retail,,Existing,,,5,,,N,,,39631,7926,0,,100,-,,,,,,,,,,,,200,,,,"(40.755717, -73.98828)",1,10036,40.755717,-73.98828,5,3,113,1080831,1010120042,Midtown-Midtown South                                                      
229 W 43rd St,The Times Square Building,,Times Square,Midtown,Manhattan,Office,A,Existing,1913,2008,16,160000000,6/28/2007,N,,1.46,789826,49364,11,,34.44,Negotiable,,,517806,0,517806,0,477889,64040,517806,"Bus Line, Metro/Subway","C6-5, New York (O9)",,,"2011 Tax @ $9.02/sf; 2011 Ops @ $15.38/sf, 2010 Est Ops @ $9.43/sf","2011 Tax @ $9.02/sf; 2011 Ops @ $15.38/sf, 2010 Est Ops @ $9.43/sf","(40.757136, -73.987446)",1,10036,40.757136,-73.987446,5,3,119,1088760,1010157501,Midtown-Midtown South                                                      
114 W 47th St,U.S. Trust Bldg,,Times Square,Midtown,Manhattan,Office,A,Existing,1989,,26,,,N,,0.5739,507456,22727,12,,100,Negotiable,,,0,7747,0,0,7747,7747,7747,"Energy Star Labeled, On Site Management, Property Manager on Site",C6-5.5,,,"2011 Tax @ $16.46/sf; 2007 Ops @ $35.39/sf, 2011 Est Ops @ $20.61/sf","2011 Tax @ $16.46/sf; 2007 Ops @ $35.39/sf, 2011 Est Ops @ $20.61/sf","(40.75831, -73.982504)",1,10036,40.75831,-73.982504,5,4,125,1022667,1009990019,Midtown-Midtown South                                                      
148-154 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1954,,6,62500000,10/22/2004,N,,0.1722,37921,6320,0,,100,-,,,,,,,,,,,C6-5.5,,,2008 Tax @ $5.95/sf,2008 Tax @ $5.95/sf,"(40.759227, -73.982742)",1,10105,40.759227,-73.982742,5,4,125,1022680,1010000053,Midtown-Midtown South                                                      
256 W 52nd St,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1950,,4,2500000,12/21/2000,N,,0.048,4612,1310,0,,100,-,,,,,,,,,,,"C6-5, New York (K4)",,,2009 Tax @ $17.09/sf,2009 Tax @ $17.09/sf,"(40.763111, -73.984192)",1,10019,40.763111,-73.984192,5,3,131,1024821,1010230059,Midtown-Midtown South                                                      
763 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,,,N,,0.06,5816,1939,0,,100,-,,,,,,,,,,,C6-4,,,2008 Tax @ $16.03/sf,2008 Tax @ $16.03/sf,"(40.760265, -73.98759)",1,10036,40.760265,-73.98759,4,3,127,,,Clinton                                                                    
347 W 46 St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,650000,3/29/1991,N,,0.045,3168,1000,0,,100,-,,,,,,,,,,,"R8, New York",,,1995 Tax @ $7.49/sf,1995 Tax @ $7.49/sf,"(40.760373, -73.989276)",1,10036,40.760373,-73.989276,4,3,127,1025048,1010370012,Clinton                                                                    
724 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,3652000,8/12/1994,N,,0.03,5424,1356,0,,100,-,,,,,,,,,,"Corner Lot, Signalized Intersection, Street parking only",C6-4,,,,,"(40.759255, -73.988312)",1,10036,40.759255,-73.988312,5,3,119,1024718,1010170001,Midtown-Midtown South                                                      
215 W 40th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1924,,14,25000000,1/16/2002,N,,0.112,65186,4938,3,,100,Negotiable,Direct - Plus Electric,,0,2000,0,2000,2000,2000,2000,,"M1-6,Manhattan,(L1)",,,"2011 Tax @ $7.05/sf; 2011 Ops @ $8.25/sf, 2010 Est Ops @ $8.82/sf","2011 Tax @ $7.05/sf; 2011 Ops @ $8.25/sf, 2010 Est Ops @ $8.82/sf","(40.755056, -73.988594)",1,10018,40.755056,-73.988594,5,3,113,1024644,1010120023,Midtown-Midtown South                                                      
228 W 52nd St,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.149,22076,860,0,,100,-,,,,,,,,,,,C6-7,,,2010 Tax @ $7.19/sf; 2010 Est Ops @ $3.08/sf,2010 Tax @ $7.19/sf; 2010 Est Ops @ $3.08/sf,"(40.762911, -73.98372)",1,10019,40.762911,-73.98372,5,3,131,1024819,1010230048,Midtown-Midtown South                                                      
162-164 W 48th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1930,,4,33400000,8/14/2004,N,,0.0781,11979,2995,0,,100,-,,,,,,,,,,,C6-7T,,,2010 Tax @ $12.62/sf; 2010 Est Ops @ $27.15/sf,2010 Tax @ $12.62/sf; 2010 Est Ops @ $27.15/sf,"(40.759348, -73.983027)",1,10105,40.759348,-73.983027,5,4,125,1022683,1010000058,Midtown-Midtown South                                                      
761-779 Seventh Ave,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1986,,2,6500000,8/27/1992,N,,0.6916,4000,2000,0,,62.5,Negotiable,,,1500,0,1500,0,1500,1500,1500,,"C6-7, New York",,,,,"(40.761184, -73.983186)",1,10019,40.761184,-73.983186,5,4,131,1022710,1010037501,Midtown-Midtown South                                                      
163 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,4,,,N,,0.1008,13344,3336,0,,100,-,,,,,,,,,,,C6-7T,,,2009 Tax @ $6.80/sf,2009 Tax @ $6.80/sf,"(40.759362, -73.983017)",1,10036,40.759362,-73.983017,5,4,125,1080826,1010010102,Midtown-Midtown South                                                      
148 W 49th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,N,,0.05,5174,1140,0,,100,-,,,,,,,,,,,C6-7T,,,2008 Tax @ $17.98/sf,2008 Tax @ $17.98/sf,"(40.759847, -73.982294)",1,10019,40.759847,-73.982294,5,4,125,1022698,1010010157,Midtown-Midtown South                                                      
3 Times Sq,The Reuters Bldg,,Times Square,Midtown,Manhattan,Office,A,Existing,2001,,32,,,N,,0.6802,855000,30598,0,,100,-,,,,,,,,,,"Bus Line, LEED Registered, Metro/Subway, Signage",C6-7,,,"2010 Tax @ $0.35/sf, 2011 Est Tax @ $17.35/sf; 2011 Est Ops @ $14.42/sf","2010 Tax @ $0.35/sf, 2011 Est Tax @ $17.35/sf; 2011 Est Ops @ $14.42/sf","(40.756376, -73.986713)",1,10036,40.756376,-73.986713,5,3,119,1024686,1010140033,Midtown-Midtown South                                                      
300 W 46th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1890,,5,,,N,,0.186,29670,4772,0,,100,-,,,,,,,,,,,C6-4,,,2011 Tax @ $4.05/sf; 2011 Est Ops @ $11.23/sf,2011 Tax @ $4.05/sf; 2011 Est Ops @ $11.23/sf,"(40.759963, -73.988355)",1,10036,40.759963,-73.988355,4,3,121,1081654,1010360036,Clinton                                                                    
234 W 42nd St,,42nd Street Retail Shops,Times Square,Midtown,Manhattan,Retail,,Existing,2000,,15,851500000,3/29/2007,N,,1.3432,300359,20023,0,,100,-,,,,,,,,,,"Enclosed Mall, Food Court, Hotel, Kiosk/Cart Space, Metro/Subway, Mixed Use, Restaurant, Signage",NZS,,,2009 Combined Tax/Ops @ $27.59/sf; 2011 Est Ops @ $13.32/sf,2009 Combined Tax/Ops @ $27.59/sf; 2011 Est Ops @ $13.32/sf,"(40.756747, -73.988659)",1,10036,40.756747,-73.988659,5,3,113,1024665,1010130012,Midtown-Midtown South                                                      
362 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,,,N,,0.04,10412,3470,0,,100,-,,,,,,,,,,,R8,,,,,"(40.760496, -73.989611)",1,10036,40.760496,-73.989611,4,3,121,1025026,1010360058,Clinton                                                                    
1604-1610 Broadway,,,Times Square,Midtown,Manhattan,Retail,,Existing,1912,2001,3,21000000,11/30/2001,N,,1.5709,29875,9958,0,,100,Negotiable,,,20978,0,0,0,20978,8865,20978,,"M1-6, New York, L1",,,2008 Combined Tax/Ops @ $137.30/sf; 2007 Combined Est Tax/Ops @ $101.72/sf,2008 Combined Tax/Ops @ $137.30/sf; 2007 Combined Est Tax/Ops @ $101.72/sf,"(40.760487, -73.984648)",1,10019,40.760487,-73.984648,5,4,125,1024779,1010200038,Midtown-Midtown South                                                      
781 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,Y,9000000,0.0436,6800,1700,0,,100,162.5,Direct - Plus Electric,,3400,0,0,0,3400,1700,3400,,C6-4,,,2009 Tax @ $14.25/sf,2009 Tax @ $14.25/sf,"(40.76077, -73.987222)",1,10036,40.76077,-73.987222,4,3,127,1025102,1010380033,Clinton                                                                    
570 Seventh Ave,,,Times Square,Midtown,Manhattan,Office,B,Existing,1929,,21,,,N,,0.1653,119862,5273,5,,97.34,41,Direct - Plus Electric,,3191,0,3191,0,1884,1884,3191,,C6-7.5,,,"2011 Tax @ $7.65/sf; 2011 Ops @ $21.37/sf, 2010 Est Ops @ $22.77/sf","2011 Tax @ $7.65/sf; 2011 Ops @ $21.37/sf, 2010 Est Ops @ $22.77/sf","(40.755119, -73.987638)",1,10018,40.755119,-73.987638,5,3,113,1024649,1010127502,Midtown-Midtown South                                                      
243 W 42nd St,E Walk,E Walk,Times Square,Midtown,Manhattan,Retail (Theme/Festival Center),,Existing,2000,,4,,,N,,1.0044,161000,43750,0,,100,Negotiable,,,2509,0,0,0,2509,2509,2509,"Bus Line, Enclosed Mall, Metro/Subway, Mixed Use",,,,"2011 Est Tax @ $25.41/sf; 2011 Ops @ $20.57/sf, 2010 Est Ops @ $24.82/sf","2011 Est Tax @ $25.41/sf; 2011 Ops @ $20.57/sf, 2010 Est Ops @ $24.82/sf","(40.756821, -73.988789)",1,10036,40.756821,-73.988789,5,3,119,1087142,1010140001,Midtown-Midtown South                                                      
728 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,560000,11/29/1991,N,,0.028,2580,645,0,,100,-,,,,,,,,,,,"C64, New York",,,2010 Tax @ $16.33/sf; 2010 Est Ops @ $8.52/sf,2010 Tax @ $16.33/sf; 2010 Est Ops @ $8.52/sf,"(40.759327, -73.988258)",1,10036,40.759327,-73.988258,5,3,119,1024719,1010170002,Midtown-Midtown South                                                      
771 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1978,,2,11750000,3/28/2001,N,,0.115,13500,6750,0,,100,-,,,,,,,,,,Signalized Intersection,C6-4,,,2010 Tax @ $18.74/sf; 2010 Est Ops @ $10.94/sf,2010 Tax @ $18.74/sf; 2010 Est Ops @ $10.94/sf,"(40.760548, -73.987384)",1,10036,40.760548,-73.987384,4,3,127,1025100,1010380029,Clinton                                                                    
166 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,N,,0.0459,4792,738,0,,100,-,,,,,,,,,,,C6-7T,,,2011 Tax @ $15.00/sf; 2011 Ops @ $3.95/sf,2011 Tax @ $15.00/sf; 2011 Ops @ $3.95/sf,"(40.759381, -73.983107)",1,10105,40.759381,-73.983107,5,4,125,1022684,1010000059,Midtown-Midtown South                                                      
1540 Broadway,,1540 Broadway,Times Square,Midtown,Manhattan,Office,A,Existing,1989,,44,254800000,11/7/2006,N,,0.888,1172383,26337,17,,94.19,Negotiable,,,108245,27000,68174,27000,37257,27000,135245,"24/7 Building Access, Bus Line, Concierge, Food Service, Metro/Subway, Signage","C6-7T, New York",,,2001 Tax @ $6.79/sf; 2009 Ops @ $20.23/sf,2001 Tax @ $6.79/sf; 2009 Ops @ $20.23/sf,"(40.757847, -73.985009)",1,10036,40.757847,-73.985009,5,4,119,1076844,1009987501,Midtown-Midtown South                                                      
Two Times Square,,,Times Square,Midtown,Manhattan,Retail,,Existing,1991,,30,,,N,,0.3199,30000,1000,0,,100,-,,,,,,,,,,,,,,,,"(40.756582, -73.989637)",1,10036,40.756582,-73.989637,5,3,113,1000000,1009950001,Midtown-Midtown South                                                      
150 W 46th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1930,,7,,,N,,0.0689,21000,3000,1,,71.43,26,Direct - Triple Net,,6000,0,6000,0,6000,3000,6000,"24/7 Building Access, Property Manager on Site",C6-5.5,,,"2011 Tax @ $7.96/sf, 2010 Est Tax @ $8.13/sf; 2010 Ops @ $12.60/sf, 2011 Est Ops @ $7.53/sf","2011 Tax @ $7.96/sf, 2010 Est Tax @ $8.13/sf; 2010 Ops @ $12.60/sf, 2011 Est Ops @ $7.53/sf","(40.757984, -73.983677)",1,10036,40.757984,-73.983677,5,4,119,1022651,1009980055,Midtown-Midtown South                                                      
120 W 42nd St,,,Penn Plaza/Garment,Midtown,Manhattan,Office,C,Existing,1912,,6,12375000,6/5/2002,N,,0.0567,75269,12544,1,,100,Negotiable,,,75219,0,0,0,63297,27363,75219,,"C6-7, Manhattan (O1)",,,2008 Tax @ $1.08/sf,2008 Tax @ $1.08/sf,"(40.755179, -73.984938)",1,10036,40.755179,-73.984938,5,4,113,1087119,1009947501,Midtown-Midtown South                                                      
368 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,,,4,,,N,,,3400,850,0,,100,-,,,,,,,,,,,,,,1995 Tax @ $2.57/sf; 1995 Ops @ $16.06/sf,1995 Tax @ $2.57/sf; 1995 Ops @ $16.06/sf,"(40.760548, -73.989734)",1,10036,40.760548,-73.989734,4,3,121,1025028,1010360060,Clinton                                                                    
218 W 50th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1930,,6,,,N,,0.1377,34948,5824,0,,100,-,,,,,,,,,,,C6-7T,,,2008 Tax @ $4.15/sf,2008 Tax @ $4.15/sf,"(40.761613, -73.984521)",1,10019,40.761613,-73.984521,5,3,125,1024805,1010210050,Midtown-Midtown South                                                      
350 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,563500,8/12/1992,N,,0.036,2791,930,0,,100,-,,,,,,,,,,,"R8, New York",,,2008 Tax @ $11.50/sf,2008 Tax @ $11.50/sf,"(40.760395, -73.989369)",1,10036,40.760395,-73.989369,4,3,121,1025023,1010360053,Clinton                                                                    
315 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,3,3750000,11/5/2002,N,,0.046,3539,1180,0,,100,-,,,,,,,,,,,R8 (K4),,,2010 Tax @ $11.81/sf; 2010 Est Ops @ $11.59/sf,2010 Tax @ $11.81/sf; 2010 Est Ops @ $11.59/sf,"(40.760098, -73.988629)",1,10036,40.760098,-73.988629,4,3,127,1075688,1010370024,Clinton                                                                    
123 W 45th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1930,,5,3410000,3/2/2002,N,,0.129,4942,1214,0,,100,-,,,,,,,,,,,"C6-5.5,Manhattan(K9)",,,"2011 Tax @ $20.80/sf; 2011 Ops @ $13.62/sf, 2010 Est Ops @ $4.54/sf","2011 Tax @ $20.80/sf; 2011 Ops @ $13.62/sf, 2010 Est Ops @ $4.54/sf","(40.757147, -73.983573)",1,10036,40.757147,-73.983573,5,4,119,1022657,1009980120,Midtown-Midtown South                                                      
214 W 50th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,4375000,9/8/1995,N,,0.0459,8500,2125,0,,100,-,,,,,,,,,,,"C6-7.5, New York",,,"2010 Tax @ $5.93/sf; 2001 Ops @ $10.69/sf, 2010 Est Ops @ $10.26/sf","2010 Tax @ $5.93/sf; 2001 Ops @ $10.69/sf, 2010 Est Ops @ $10.26/sf","(40.761585, -73.984456)",1,10019,40.761585,-73.984456,5,3,125,1024803,1010210048,Midtown-Midtown South                                                      
227 W 46th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1919,,6,,,N,,0.1722,28765,4794,0,,100,-,,,,,,,,,,,C6-5,,,,,"(40.759071, -73.9862)",1,10036,40.759071,-73.9862,5,3,125,1024738,1010180013,Midtown-Midtown South                                                      
