CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50008635,MANGANARO'S HERO BOY,MANHATTAN,494,9TH AVE,10018,2129477325,American,01/12/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,35,,,02/08/2018,Cycle Inspection / Initial Inspection
40679229,AMARANTH,MANHATTAN,21,EAST   62 STREET,10065,2129806700,French,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
50003708,NOODLE Q,MANHATTAN,2,E BROADWAY,10038,2122198223,Chinese,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,33,,,02/08/2018,Cycle Inspection / Initial Inspection
41292258,ABITINO'S PIZZA,MANHATTAN,936,2 AVENUE,10022,2123081234,Pizza,01/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41481494,JACK STUDIOS,MANHATTAN,601,WEST   26 STREET,10001,2123678376,American,01/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,20,,,02/08/2018,Cycle Inspection / Initial Inspection
41298811,LE PAIN QUOTIDIEN,MANHATTAN,70,WEST   40 STREET,10018,2123545224,Sandwiches/Salads/Mixed Buffet,01/12/2015,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,7,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
41590133,CAFE DEL SOL,MANHATTAN,480,7 AVENUE,10018,2126432926,Delicatessen,01/12/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,23,B,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41365576,DIG INN,MANHATTAN,275,MADISON AVENUE,10016,2126977867,American,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41159246,DUBLIN HOUSE,MANHATTAN,225,WEST   79 STREET,10024,2128749528,Irish,01/12/2015,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,6,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
50018003,GREEN LIFE JUICE BAR,MANHATTAN,311,E 76TH ST,10021,2123210744,"Juice, Smoothies, Fruit Salads",01/12/2015,Violations were cited in the following area(s).,05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical,41,,,02/08/2018,Pre-permit (Non-operational) / Initial Inspection
41237579,CILANTRO,MANHATTAN,485,COLUMBUS AVENUE,10024,2127129090,Mexican,01/12/2015,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,7,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
41674682,EL NUEVO CARIDAD RESTAURANT,MANHATTAN,225759,2ND AVE,10029,2128608187,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,24,,,02/08/2018,Cycle Inspection / Initial Inspection
41347045,HIBERNIA,MANHATTAN,401,WEST   50 STREET,10019,2129699703,Irish,01/12/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,40,,,02/08/2018,Cycle Inspection / Re-inspection
40545329,BEN'S DELI,MANHATTAN,209,WEST   38 STREET,10018,2123982367,Jewish/Kosher,01/12/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,25,,,02/08/2018,Cycle Inspection / Initial Inspection
50016844,ROSE PIZZA,MANHATTAN,1,PENN PLAZA,10119,2125947817,Pizza,01/12/2015,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,52,,,02/08/2018,Pre-permit (Operational) / Initial Inspection
41416781,RYEHOUSE,MANHATTAN,11,WEST 17 STREET,10011,2122557260,American,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,31,,,02/08/2018,Cycle Inspection / Initial Inspection
50017810,T.G.I. FRIDAY'S,MANHATTAN,211,W 34TH ST,10001,2125640539,American,01/12/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,19,,,02/08/2018,Pre-permit (Operational) / Initial Inspection
41719234,NEW KAM LAI RESTAURANT,MANHATTAN,890,AMSTERDAM AVENUE,10025,2127498398,Chinese,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41124515,GIARDINO D'ORO,MANHATTAN,5,GOLD STREET,10038,2125146400,Italian,01/12/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41487544,NANOOSH,MANHATTAN,173,MADISON AVENUE,10016,2124474345,Mediterranean,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41453860,SPICE,MANHATTAN,236,8 AVENUE,10011,2126204585,Thai,01/12/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,12,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
50017243,BURGER & LOBSTER,MANHATTAN,39,W 19TH ST,10011,6468337532,American,01/12/2015,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,5,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
41347045,HIBERNIA,MANHATTAN,401,WEST   50 STREET,10019,2129699703,Irish,01/12/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,40,,,02/08/2018,Cycle Inspection / Re-inspection
41613314,AMSTERDAM GOURMET,MANHATTAN,403 A,AMSTERDAM AVENUE,10024,2123621525,Delicatessen,01/12/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41341123,VILLA FRESH ITALIAN KITCHEN,MANHATTAN,625,8 AVENUE,10018,2129719242,Pizza/Italian,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41011581,WOGIES,MANHATTAN,39,GREENWICH AVENUE,10014,2122292171,American,01/12/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,13,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
50003708,NOODLE Q,MANHATTAN,2,E BROADWAY,10038,2122198223,Chinese,01/12/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,33,,,02/08/2018,Cycle Inspection / Initial Inspection
50013000,JOEY PEPPERONI,MANHATTAN,493,2ND AVE,10016,2122135558,Pizza,01/12/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,11,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
40679229,AMARANTH,MANHATTAN,21,EAST   62 STREET,10065,2129806700,French,01/12/2015,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,12,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
41590133,CAFE DEL SOL,MANHATTAN,480,7 AVENUE,10018,2126432926,Delicatessen,01/12/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,23,B,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41259512,PUBLIC HOUSE,MANHATTAN,622,3 AVENUE,10017,2126823710,American,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
41674682,EL NUEVO CARIDAD RESTAURANT,MANHATTAN,225759,2ND AVE,10029,2128608187,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",01/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,,,02/08/2018,Cycle Inspection / Initial Inspection
41416781,RYEHOUSE,MANHATTAN,11,WEST 17 STREET,10011,2122557260,American,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,31,,,02/08/2018,Cycle Inspection / Initial Inspection
41394237,GOLDEN CITY CHINESE RESTAURANT,MANHATTAN,423,9 AVENUE,10001,2126439232,Chinese,01/12/2015,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,,,02/08/2018,Cycle Inspection / Initial Inspection
41405535,TWO BOOTS,MANHATTAN,625,9 AVENUE,10036,2129562668,Pizza,01/12/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
40545329,BEN'S DELI,MANHATTAN,209,WEST   38 STREET,10018,2123982367,Jewish/Kosher,01/12/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25,,,02/08/2018,Cycle Inspection / Initial Inspection
41639573,CORNER SOCIAL,MANHATTAN,321,LENOX AVENUE,10027,2125108552,American,01/12/2015,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,6,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
50004346,KFC,MANHATTAN,2755,BROADWAY,10025,2126659430,American,01/12/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,26,,,02/08/2018,Cycle Inspection / Initial Inspection
41674682,EL NUEVO CARIDAD RESTAURANT,MANHATTAN,225759,2ND AVE,10029,2128608187,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",01/12/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,24,,,02/08/2018,Cycle Inspection / Initial Inspection
41658609,THE SPOT CAFE/KOOFO,MANHATTAN,67,WEST   23 STREET,10010,2129242654,Delicatessen,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22,,,02/08/2018,Cycle Inspection / Initial Inspection
41460077,5 NAPKIN BURGER,MANHATTAN,2315,BROADWAY,10024,2123334488,Hamburgers,01/12/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,15,,,02/08/2018,Cycle Inspection / Initial Inspection
41239252,BODRUM,MANHATTAN,584,AMSTERDAM AVENUE,10024,2127992806,Mediterranean,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
50017810,T.G.I. FRIDAY'S,MANHATTAN,211,W 34TH ST,10001,2125640539,American,01/12/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19,,,02/08/2018,Pre-permit (Operational) / Initial Inspection
50004346,KFC,MANHATTAN,2755,BROADWAY,10025,2126659430,American,01/12/2015,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,26,,,02/08/2018,Cycle Inspection / Initial Inspection
41481494,JACK STUDIOS,MANHATTAN,601,WEST   26 STREET,10001,2123678376,American,01/12/2015,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20,,,02/08/2018,Cycle Inspection / Initial Inspection
41056433,DUNKIN' DONUTS/ BASKIN ROBBINS,MANHATTAN,1760,2 AVENUE,10128,2128763312,Donuts,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
50008635,MANGANARO'S HERO BOY,MANHATTAN,494,9TH AVE,10018,2129477325,American,01/12/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,35,,,02/08/2018,Cycle Inspection / Initial Inspection
50002574,CIBO E VINO,MANHATTAN,2418,BROADWAY,10024,2123620096,Italian,01/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
50008281,ARCADE BAKERY,MANHATTAN,220,CHURCH ST,10013,3472765061,Bakery,01/12/2015,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,02/08/2018,Smoke-Free Air Act / Re-inspection
41159246,DUBLIN HOUSE,MANHATTAN,225,WEST   79 STREET,10024,2128749528,Irish,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
41553745,HOP SHING RESTAURANT,MANHATTAN,9,CHATHAM SQUARE,10038,2122670220,Chinese,01/12/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,17,B,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
40383090,TORTILLA FLATS,MANHATTAN,767,WASHINGTON STREET,10014,2122431053,Tex-Mex,01/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,6,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
40545329,BEN'S DELI,MANHATTAN,209,WEST   38 STREET,10018,2123982367,Jewish/Kosher,01/12/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,25,,,02/08/2018,Cycle Inspection / Initial Inspection
40950482,EAMONN'S BAR AND GRILL,MANHATTAN,9,EAST   45 STREET,10017,2128679013,Irish,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
50018003,GREEN LIFE JUICE BAR,MANHATTAN,311,E 76TH ST,10021,2123210744,"Juice, Smoothies, Fruit Salads",01/12/2015,Violations were cited in the following area(s).,20D,"Choking first aid poster not posted. Alcohol and pregnancy warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",Not Critical,,,,02/08/2018,Administrative Miscellaneous / Initial Inspection
40526406,CLUB MACANUDO (CIGAR BAR),MANHATTAN,26,EAST   63 STREET,10065,2127528200,American,01/12/2015,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,10,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
50005586,EFFYS CAFE,MANHATTAN,104,W 96TH ST,10025,2122806200,Mediterranean,01/12/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
50012356,TEXAS CHICKEN & BURGERS,MANHATTAN,151,E 103RD ST,10029,9173304730,Chicken,01/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
41658609,THE SPOT CAFE/KOOFO,MANHATTAN,67,WEST   23 STREET,10010,2129242654,Delicatessen,01/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22,,,02/08/2018,Cycle Inspection / Initial Inspection
40679229,AMARANTH,MANHATTAN,21,EAST   62 STREET,10065,2129806700,French,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,01/12/2015,02/08/2018,Cycle Inspection / Initial Inspection
41365576,DIG INN,MANHATTAN,275,MADISON AVENUE,10016,2126977867,American,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,01/12/2015,02/08/2018,Cycle Inspection / Re-inspection
